ID,nextID,uiSort,content_cn,content_en,isRoleSay,needchangeBg,isSave,isKeySave
1,2,0,宫灯华明，兴夜阑珊，偌大的皇宫内，有人哭天抢地，有人安然泰之。,Englishcontent1,0,0,0,0
2,3,0,你穿着单薄的寝衣倚在美人榻上，慢条斯理地拨弄茶盖，闻着沁人心脾熏香，静静等待着消息。,Englishcontent1,0,0,0,0
3,32,0,你叫沈碧，是这大离国的皇后，也是这后宫的主人。但，即便你是这么尊贵的身份，在这深宫之中过得也并不如意……,Englishcontent1,0,0,0,0
4,5,0,“吱呀”，房门被轻轻推开。你的贴身宫女琉璃踩着匆忙的碎步走到你身前跪下：“禀娘娘，丽妃生了，是个小皇子。”,Englishcontent1,0,0,0,0
5,6,0,你饮茶的动作蓦然顿住，眉头缓缓蹙起，喃喃重复：“小皇子？”,Englishcontent1,0,0,0,0
6,7,0, 琉璃怯怯点头，不敢抬眼看你。你缓和了神色，温声让她退下，并未再说什么。等琉璃走后，你又在榻上呆了好一会儿，直到熏烛暗淡，你才起身进了寝房。,Englishcontent1,0,0,0,0
7,8,0,今夜这丽妃产子，揪着多少人的心。这宫里，已经许久没有诞下过皇子了，皇帝今日政务繁忙，今夜也特意去丽妃殿前守着她生产，可见多么重视。想必，他应当很高兴罢。,Englishcontent1,0,0,0,0
8,9,0,你抚上自己的肚子，眼里逐渐染上哀怨。你分明，也是可以为他产下皇子的，可他不要啊，宁愿期待那个身份低微的女人生下来的种，也不要你这堂堂皇后为他诞下皇子。,Englishcontent1,0,0,0,0
9,10,0,往日糟粕的记忆浮现，你的心头越发怨恨。在皇帝还未登基时你就已经是他的太子妃了，那时你们住在东宫，浓情蜜意，他宠你护你，珍爱你极了。一登基，就立刻封你为后，给了你最尊贵的身份和礼遇。那时，你并为把他当成一个帝王，只当他是你深爱的男人。,Englishcontent1,0,0,0,0
10,11,0,他似乎做到了他能给你的所有，你被这幸福迷了眼，竟不知这只是带着砒霜的糖。若不是你久久没有怀上孩子，让太医来给你诊治，若不是你偷偷安插眼线去查，竟不知那夜夜宠幸于你，口口声声说爱你的男人竟一直在给你喝避子汤！你多傻啊，一直以为那是他特意吩咐给你补身子的药，还深受感动！,Englishcontent1,0,0,0,0
11,12,0,可惜等你发现这一切，已经晚了，你的身子再也无法恢复，你永远都不可能有身孕。这对一个女人来说，对皇后来说，是多么残忍的事情！彼时你还性子刚烈，当即便同皇帝对峙，那个男人初始还做做样子诓哄你一下，后来他不耐烦了，便也将残忍的真相告诉了你。,Englishcontent1,0,0,0,0
12,13,0,原来啊，你深爱的男人从未爱过你，从娶你为太子妃时就是利益使然。你的父亲是朝中重臣，掌握着大离国的重要兵权。母亲是先太后的亲侄女，哥哥也是骁勇大将军。能娶到你当太子妃，他的太子之位势必更加稳固。等他顺利登基，再慢慢利用你拿走父亲手里的兵权，下你哥哥的威信，不然他这皇位坐得胆战心惊，在你父亲跟前也总要礼他三分。,Englishcontent1,0,0,0,0
13,14,0,他不敢跟你生下皇子，他怕你父亲会挟你的儿子篡他皇位。多么荒唐啊！而你从始至终只是一个被爱情冲昏头脑的草包，全然没想到他的每一步都有诸多算计！,Englishcontent1,0,0,0,0
14,15,0,从前总听人说帝王是没有心的，你不以为然，认为他是一个例外，到底是你太天真。这些年，你盲目信任他，导致父亲被他针对，在朝中地位岌岌可危，哥哥也被他设计诬陷，如今被发配至边疆。你也终于清醒，要守住你的后位保护你的家人。,Englishcontent1,0,0,0,0
15,16,0,你久久没有诞下皇子，势必会被群臣起哄让你下位，但，若是宫中所有嫔妃都没有诞下皇子，那便没有正当的机会废掉你。也不知是不是老天开了眼，你都没有亲自动手，这后宫的嫔妃要么就是早产，要么就是夭折，这么些年也只诞下了十个公主，一个皇子都没有。,Englishcontent1,0,0,0,0
16,17,0,大臣们急啊，皇帝也急啊。他急到连一天都不愿把时间浪费在你这个无法生育的女人身上，夜夜宠信其他嫔妃，每月都要选新的秀女进宫，眼下的乌青浓重，再也没有当初那吸引你的俊秀挺拔模样。,Englishcontent1,0,0,0,0
17,18,0,皇帝也曾怀疑是你对他的子嗣们下了黑手，你虽有此打算，也曾让琉璃去下过手，但最终都并不是死在你的手上。所以你便无惧他的怀疑，坦坦荡荡，他也拿你无甚办法，只能抖着手指头称你毒妇，想着把你父亲的势力全部扳倒，再来惩罚你吧。但你可不会给他这个机会。,Englishcontent1,0,0,0,0
18,19,0,这回，你等了数日，没有等到小皇子夭折的消息，反而等来太后的寿宴要和小皇子的诞生宴一一同举办的消息。这可怎么行，这不是昭告所有人丽妃的小皇子即将被立为太子，而你这个皇后，即将被废掉了吗？！,Englishcontent1,0,0,0,0
19,20,0,你不知以往那些个孩子是怎么没的，是天意也好，有他人下手也好，总归结局是你要的。这次难道，要你亲自动手了吗？,Englishcontent1,0,0,0,0
20,21,0,这日，生产过后的丽妃第一次抱着孩子来跟你请安，你瞅着她怀里那安睡的小婴儿，一时有些恍惚，若是你能剩下子嗣，也会这么白白胖胖的吧？,Englishcontent1,0,0,0,0
21,22,0,许是你落在她孩子身上的目光久了些，丽妃有些紧张地抱紧了自己孩子，借口自己要回去给小皇子喂奶先行告退了。,Englishcontent1,0,0,0,0
22,23,0,等丽妃走后，琉璃问你：“娘娘，需要动手吗？”,Englishcontent1,7,0,0,0
23,24,0,你眯了眯眼，不紧不慢道：“不急。”,Englishcontent1,0,0,0,0
24,25,0, 如今皇帝对这小皇子的保护可谓十分严谨，不能贸然行动。太后的寿宴在即，你这个时候动手势必在别人眼里你有很重的嫌疑。你相信这后宫中想弄死这皇子的不止你一个，想必这件事也不用你亲自动手。,Englishcontent1,0,0,0,0
25,26,0, 寿宴之前，你特意去见了两个人。一个是最近最受宠爱的菀嫔董菀歌，一个是不太受宠，且和丽妃有过节的瑜妃傅瑜。,Englishcontent1,0,0,0,0
26,27,0,董菀歌相貌出众，家世又好，入宫时间虽不长，但很快就成了皇帝后宫的红人，备受宠爱。除了肚子迟迟没动静之外，别的待遇那是高于后宫所有女人。如今丽妃顺利诞下了皇子，董菀歌的地位定然是受到威胁冲击最大的，你相信她定然知道自己的处境。,Englishcontent1,0,0,0,0
